"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","P.adj"
"133","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted",14,0.0124984188917779,0.0564157213897267,0.824670891085125,-0.0980763950320864,0.123073232815642,1.01257685054578,0.906579642927453,1.13096724183037,0.949621026098022
"138","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted",15,0.00105007699781954,0.0554828775914183,0.98490002241496,-0.10769636308136,0.109796517076999,1.0010506285217,0.897900190690647,1.11605095004256,0.987212384295818
"143","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223,0.123710709907703
"148","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598,0.202376811128103
"153","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843,0.128072641337318
"158","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758,0.00606083694390592
"163","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915,0.00524238949037217
"168","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199,0.00184939991738846
"173","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",13,0.12892246073709,0.0394057222548737,0.00106914851831827,0.0516872451175374,0.206157676356642,1.13760191193208,1.05304634561975,1.22894696459906,0.00606083694390592
"178","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",15,-0.12749991963984,0.0316538530309263,5.62669505359185e-05,-0.189541471580456,-0.0654583676992245,0.880293486574744,0.827338405154747,0.936638040344539,0.00106907206018245
"183","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",11,0.203806403706882,0.0343687726589632,3.02957128194574e-09,0.136443609295314,0.271169198118449,1.2260607696585,1.14619024147792,1.31149695442992,1.15123708713938e-07
"188","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",11,0.196787048989134,0.052816971136856,0.000194673675514575,0.093265785560896,0.300308312417371,1.21748474849071,1.09775346351781,1.35027504997113,0.00184939991738846
