"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"24","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted (fixed effects)",25,0.122063937690746,0.0269825860866763,6.07379021986156e-06,0.0691780689608604,0.174949806420631,1.12982633795798,1.07162701566859,1.19118642520142
"25","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted (multiplicative random effects)",13,0.12892246073709,0.0394057222548737,0.00106914851831827,0.0516872451175374,0.206157676356642,1.13760191193208,1.05304634561975,1.22894696459906
"26","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",13,0.12892246073709,0.0394057222548737,0.00106914851831827,0.0516872451175374,0.206157676356642,1.13760191193208,1.05304634561975,1.22894696459906
"27","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted (fixed effects)",13,0.12892246073709,0.0353987434846561,0.000270521036676153,0.059540923507164,0.198303997967016,1.13760191193208,1.06134919422216,1.219333012242
"28","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted (multiplicative random effects)",15,-0.12749991963984,0.0300379897456267,2.18961968397428e-05,-0.186374379541268,-0.0686254597384117,0.880293486574744,0.829962815712646,0.933676313969003
"29","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",15,-0.12749991963984,0.0316538530309263,5.62669505359185e-05,-0.189541471580456,-0.0654583676992245,0.880293486574744,0.827338405154747,0.936638040344539
"30","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted (fixed effects)",15,-0.12749991963984,0.0316538530309263,5.62669505359185e-05,-0.189541471580456,-0.0654583676992245,0.880293486574744,0.827338405154747,0.936638040344539
"31","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted (multiplicative random effects)",11,0.203806403706882,0.02189668076196,1.30705171075177e-20,0.16088890941344,0.246723898000323,1.2260607696585,1.17455447961986,1.27982570155631
"32","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",11,0.203806403706882,0.0343687726589632,3.02957128194574e-09,0.136443609295314,0.271169198118449,1.2260607696585,1.14619024147792,1.31149695442992
"33","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted (fixed effects)",11,0.203806403706882,0.0343687726589632,3.02957128194574e-09,0.136443609295314,0.271169198118449,1.2260607696585,1.14619024147792,1.31149695442992
"34","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted (multiplicative random effects)",11,0.196787048989134,0.052816971136856,0.000194673675514575,0.093265785560896,0.300308312417371,1.21748474849071,1.09775346351781,1.35027504997113
"35","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",11,0.196787048989134,0.052816971136856,0.000194673675514575,0.093265785560896,0.300308312417371,1.21748474849071,1.09775346351781,1.35027504997113
"36","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted (fixed effects)",11,0.196787048989134,0.0456051135969357,1.595873182564e-05,0.10740102633914,0.286173071639128,1.21748474849071,1.11338065993329,1.33132284954214
